Name,Period,ra,dec,g,r
1813a,0.027785484,207.08665,38.17153,17.649,18.047
1703c,0.040462803,58.31554,9.94265,16.903,17.312
1819a,0.044222355,297.25581,67.50156,18.105,18.138
1700dj,0.05620677,12.09172,-26.37421,19.151,19.53
1622c,0.079355143,334.86782,16.05643,18.823,19.108
1722ag,0.085866831,331.33938,35.55149,15.675,16.007
1303gy,0.087868206,53.48127,17.94328,18.014,18.299
1523bq,0.087944999,346.62696,44.31353,14.123,14.55
1713a,0.088346124,205.46549,-6.43712,17.701,17.91
1301v,0.091603003,27.65625,22.54986,18.567,18.777
1711e,0.094352439,167.14169,31.89793,17.024,17.4
1717h,0.096455723,267.15569,9.16338,16.579,16.919
1721at,0.097065873,328.70324,33.8642,17.101,17.382
1715m,0.099033788,235.05032,29.14134,18.791,19.16
1717ae,0.099513583,267.90183,14.73864,16.793,17.152
1704k,0.101358563,67.76557,-4.28403,17.81,18.257
1700br,0.10679321,4.15469,78.92194,16.528,16.863
1615m,0.110496178,228.43131,44.5768,17.255,17.618
1817b,0.114062965,255.35534,34.59177,18.854,19.112
1623e,0.11649064,345.4644,32.94971,18.718,18.767
1701aw,0.119941898,29.6823,-15.04058,17.583,17.96
1501de,0.126353994,27.17109,36.5639,15.418,15.831
1801a,0.127921417,26.03272,34.85176,19.488,19.73
1706d,0.128725097,93.23013,57.84746,15.638,15.999
1608a,0.137570456,120.83651,-0.66094,15.288,15.606
1706i,0.142399371,103.90968,31.39441,16.843,17.107
1721f,0.145033374,315.0725,-14.19015,16.433,16.829
1623g,0.160542309,353.86282,47.60529,18.049,18.36
1722c,0.162695244,341.41392,20.27596,15.593,15.915
1723b,0.176437706,352.3443,32.23315,16.836,17.096
1621h,0.18685329,321.63415,-4.22396,14.301,14.681
1719y,0.204932585,299.80199,6.58695,16.182,16.5
1722d,0.22041361,331.66582,32.72679,16.783,17.152
1407e,0.221408173,112.83918,59.96027,15.899,16.37
1709a,0.234423995,137.58201,78.17318,16.007,16.369
1720ar,0.246543869,313.83884,22.6364,17.314,17.483
1720ae,0.254047066,303.14116,9.41613,17.259,17.509
1720bk,0.255475313,308.37634,19.02187,18.228,18.545
1622bd,0.261175782,330.91914,-12.25344,17.401,17.701
1507ak,0.266223997,118.30847,11.21117,15.422,15.797
1607g,0.276719332,117.93995,10.99203,16.568,16.985
1720bs,0.286549449,314.34028,33.58315,17.386,17.592
1716ai,0.309426695,254.29562,80.19375,16.718,17.061
1623o,0.32783252,352.63059,52.00139,16.645,17.015
1707ae,0.329448491,109.25021,62.63587,16.792,17.109
1618aa,0.336716026,280.68772,69.9389,15.146,15.524
1707l,0.341734797,114.89894,56.70926,16.51,16.835
1521bw,0.347768009,318.88116,12.66599,15.849,16.233
1619bh,0.353687704,287.22687,70.15911,15.377,15.699
1706v,0.360304773,96.20394,51.93052,15.719,16.008
1721as,0.380076498,328.54367,4.57205,18.631,18.929
1510cd,0.424247861,158.43455,66.27013,15.286,15.719
1717ak,0.446998686,268.84809,36.65706,15.947,16.354
1718ae,0.477157921,278.31008,48.48683,16.903,17.352
1620r,0.502546251,314.30123,17.13165,15.203,15.554
1704ab,0.521532595,69.42498,-8.96091,17.673,17.998
1500el,0.563189387,5.48503,37.94373,16.68,16.757
1707an,1.408284783,110.86358,12.21015,17.476,17.868
1610h,1.513234,155.26094,80.14159,17.24,17.56
1707af,1.782080412,119.7225,77.37582,15.867,16.205
