Name,ra,dec,exposure_time,Period,nexp,filters,priority
PN_4476, 262.30531, -16.79543, 0.00347, 0.494868, 10, r, 2
PN_1451, 266.17560, -15.75345, 0.00347, 0.292683, 10, r, 2
PN_161, 262.14247, -13.43906, 0.00347, 0.638298, 10, r, 2
PN_5754, 261.22176, -23.04294, 0.00347, 0.368098, 10, r, 2
01374851+3823318, 24.452083, 38.392194, 0.02, 1, 1, r, 2
18021660+6415445, 270.569167, 64.262306, 0.02, 1, 1, r, 2
18163109+4533276, 274.129583, 45.557833, 0.02, 1, 1, r, 2 
18320290+2030581, 278.012083, 20.516139, 0.02, 1, 1, r, 2 
19510930+4628598, 297.788750, 46.483444, 0.02, 1, 1, r, 2 
20372081+2156525, 309.336667, 21.947944, 0.02, 1, 1, r, 2
21011610+3314328, 315.317083, 33.242444, 0.02, 1, 1, r, 2
23025250+4338157, 345.718750, 43.637667, 0.02, 1, 1, r, 2
ZTF1819q, 288.27869, -12.0957, 0.04, 1, 1, r, 2
ZTF1816ak, 247.8630845, 23.3017528, 0.04, 1, 1, r, 2
ZTFUCB3, 284.4104977, -22.1779427, 0.04, 1, 1, r, 2
ZTFUCB4, 284.4101273, -22.1600417, 0.04, 1, 1, r, 2
PTF1616dp, 246.3692,  -0.59605, 0.041, 0.3261964, 1, g, 1 
PTF1705aj, 83.383542, 2.153222, 0.04, 1, 1, g, 1
PTF1700dj, 12.091708, -26.374222, 0.04, 1, 1, r, 1
